Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-05-24),Price Override,Watchlist,Date Added,Notes
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Gemini Elf,LON-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,61.09,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Injection Fairy Lily,LOD-100,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,60.07,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Breaker the Magical Warrior,MFC-071,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,52.34,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 2,Mikazukinoyaiba,TP2-006,Rare,Unlimited,Ungraded,Lightly Played,0,1,51.53,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Metal Raiders,Magic Jammer,MRD-128,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,49.34,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magic Ruler,Toon Mermaid,MRL-072,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,45.92,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Premature Burial,PSV-037,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,45.65,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Starter Deck: Yugi,Soul Exchange,SDY-041,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,45.31,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Ring of Destruction,PGD-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,2,45.26,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Dark Crisis,Vampire Lord,DCR-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,41.96,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Metalmorph (Forbidden Memories),FMR-003,Secret Rare,Limited,Ungraded,Lightly Played,0,1,41.67,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,Versago the Destroyer,TP1-015,Rare,Unlimited,Ungraded,Lightly Played,0,1,41.64,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Starter Deck: Yugi,Dark Magician,SDY-006,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,41.41,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 2,Exile of the Wicked,TP2-004,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,38.15,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Red-Eyes B. Dragon,LOB-070,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,37.92,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,2005 Collectors Tin,Dark Magician Girl,CT2-EN004,Secret Rare,Limited,Ungraded,Lightly Played,0,1,34.6,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Metal Raiders,Kuriboh,MRD-071,Super Rare,1st Edition,Ungraded,Damaged,0,1,33.85,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,United We Stand,LON-049,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,33.57,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Dust Tornado,PSV-011,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,32.69,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Dark Magician,LOB-005,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,32.53,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,Goddess with the Third Eye,TP1-013,Rare,Unlimited,Ungraded,Lightly Played,0,1,31.75,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Paladin of White Dragon,MFC-026,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,31.02,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Invasion of Chaos,Black Luster Soldier - Envoy of the Beginning,IOC-025,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,30.57,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,XY-Dragon Cannon,MFC-051,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,29.71,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magic Ruler,Mystical Space Typhoon,MRL-047,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,3,29.56,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,2003 Collectors Tin,Blue-Eyes White Dragon,BPT-009,Secret Rare,Limited,Ungraded,Lightly Played,0,1,28.08,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,2003 Collectors Tin,Blue-Eyes White Dragon,BPT-009,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,27.94,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Tyrant Dragon,LOD-034,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,27.79,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Airknight Parshath,LOD-062,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,27.41,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Paladin of White Dragon,MFC-026,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,26.37,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Soul of the Duelist,Ectoplasmer (UTR),SOD-EN043,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,25.49,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Lava Golem,PGD-107,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,25.14,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Dark Magician Knight (Reshef of Destruction),ROD-EN001,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,24.97,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,Beastking of the Swamps,TP1-014,Rare,Unlimited,Ungraded,Lightly Played,0,1,24.76,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magic Ruler,Axe of Despair,MRL-002,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,24.65,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Helpoemer,PGD-058,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,24.39,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Soul of the Duelist,Horus the Black Flame Dragon LV8,SOD-EN008,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,23.98,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Invasion of Chaos,Dimension Fusion,IOC-094,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,23.62,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,2004 Collectors Tin,Blade Knight,CT1-EN002,Secret Rare,Limited,Ungraded,Near Mint,0,1,21.9,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Don Zaloog,PGD-029,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,21.52,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Destiny Board,LON-088,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,21.17,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Nobleman of Crossout,PSV-034,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,21.01,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Invasion of Chaos,Black Tyranno,IOC-075,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,20.41,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Dark Ruler Ha Des,LOD-001,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,19.53,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Right Leg of the Forbidden One,LOB-120,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,19.34,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Goblin Attack Force,PSV-094,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,19.28,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Ring of Destruction,PGD-000,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,19.24,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Left Arm of the Forbidden One,LOB-123,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,19.21,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Falsebound Kingdom,Zoa,TFK-001,Prismatic Secret Rare,Limited,Ungraded,Lightly Played,0,1,18.99,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Power of Chaos: Yugi the Destiny,Thousand Knives,PCY-003,Secret Rare,Limited,Ungraded,Near Mint,0,1,18.84,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,2004 Collectors Tin,Blade Knight,CT1-EN002,Secret Rare,Limited,Ungraded,Lightly Played,0,3,18.62,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Reinforcement of the Army,LOD-028,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,18.6,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Tribe-Infecting Virus,MFC-076,Super Rare,1st Edition,Ungraded,Near Mint,0,1,18.52,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Don Zaloog,PGD-029,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,18.29,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Fiber Jar,LOD-056,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,18.2,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Creature Swap,LOD-081,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,3,18.07,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,X-Head Cannon,MFC-004,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,17.48,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Amazoness Swords Woman,MFC-061,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,17.28,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Torrential Tribute,LON-025,Ultra Rare,Unlimited,Ungraded,Near Mint,0,1,17.05,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Gemini Elf,LON-000,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,16.82,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Metal Raiders,Solemn Judgment,MRD-127,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,16.64,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Dark Ruler Ha Des,LOD-001,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,16.6,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Mask of Restrict,LON-018,Ultra Rare,Unlimited,Ungraded,Near Mint,0,2,16.48,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Invasion of Chaos,Invader of Darkness,IOC-111,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,16.48,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Dark Crisis,D.D. Warrior Lady,DCR-027,Super Rare,1st Edition,Ungraded,Near Mint,0,1,16.3,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magic Ruler,Delinquent Duo,MRL-039,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,16.07,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Elemental Energy,B.E.S. Tetran (UTR),EEN-EN017,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,16.05,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Jar of Greed,LON-047,Super Rare,Unlimited,Ungraded,Lightly Played,0,3,15.84,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Tribe-Infecting Virus,MFC-076,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,15.74,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Invasion of Chaos,Manticore of Darkness,IOC-067,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,15.72,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Ancient Sanctuary,The End of Anubis,AST-000,Secret Rare,1st Edition,Ungraded,Near Mint,0,1,15.65,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Dark Beginning 1,Big Shield Gardna,DB1-EN097,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,15.4,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Call Of The Haunted,PSV-012,Ultra Rare,Unlimited,Ungraded,Near Mint,0,1,14.72,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Injection Fairy Lily,LOD-100,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,14.54,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Invasion of Chaos,Strike Ninja,IOC-007,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,3,14.45,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Cybernetic Revolution,Cyber Dragon,CRV-EN015,Super Rare,1st Edition,Ungraded,Near Mint,0,1,14.37,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,World Championship 2004: GBA Promo,Kinetic Soldier,WC4-002,Secret Rare,Limited,Ungraded,Lightly Played,0,1,14.28,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Mask of Restrict,LON-018,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,14.01,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Dark Crisis,D.D. Warrior Lady,DCR-027,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,13.86,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Card of Safe Return,LON-029,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,13.84,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Reaper on the Nightmare,PGD-078,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,13.49,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Ceasefire,PSV-030,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,13.34,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Ancient Sanctuary,The End of Anubis,AST-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,13.3,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Spell Canceller,MFC-020,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,13.12,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Monster Reborn,LOB-118,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,13.07,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Stairway to the Destined Duel,Valkyrion the Magna Warrior,SDD-001,Secret Rare,Limited,Ungraded,Lightly Played,0,1,12.9,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Flaming Eternity,Lightning Vortex,FET-EN040,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,12.87,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Torrential Tribute,LON-025,Ultra Rare,Unlimited,Ungraded,Moderately Played,0,1,12.79,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Cybernetic Revolution,Cyber Dragon,CRV-EN015,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,12.21,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Skilled Dark Magician,MFC-065,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,12.19,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Rise of Destiny,Perfect Machine King,RDS-EN012,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,12.17,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Exiled Force,LOD-023,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,11.72,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Power of Chaos: Joey the Passion,Sebek's Blessing,PCJ-EN002,Prismatic Secret Rare,Limited,Ungraded,Lightly Played,0,2,11.29,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Chain Destruction,PSV-006,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,11.16,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Tribe-Infecting Virus,MFC-076,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,11.08,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Imperial Order,PSV-104,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,11.07,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Ancient Sanctuary,Dark Magic Attack,AST-095,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,10.93,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Luster Dragon,MFC-058,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,10.93,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Soul of the Duelist,Horus the Black Flame Dragon LV8,SOD-EN008,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,10.8,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Cybernetic Revolution,Goblin Elite Attack Force (UTR),CRV-EN020,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,2,10.8,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,2003 Collectors Tin,XYZ-Dragon Cannon,BPT-010,Secret Rare,Limited,Ungraded,Lightly Played,0,2,10.52,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Stairway to the Destined Duel,Sinister Serpent,SDD-002,Prismatic Secret Rare,Limited,Ungraded,Near Mint,0,1,10.29,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Starter Deck: Pegasus,Graceful Charity,SDP-040,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,10,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Duelist of the Roses,Beta the Magnet Warrior,DOR-002,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,9.99,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Ancient Sanctuary,Emissary of the Afterlife,AST-076,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,9.78,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Mystical Knight of Jackal,PGD-069,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,9.73,0,FALSE,2026-05-24,
