Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-05-24),Price Override,Watchlist,Date Added,Notes,PC URL,PC Ungraded (Raw),PC Grade 8,PC Grade 9,PC Note
Roy Yugioh,YuGiOh,Tournament Pack 1,Axe Raider,TP1-002,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,295.32,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-002%20Axe%20Raider&type=prices,199.18,134.38,460.68,
Roy Yugioh,YuGiOh,Tournament Pack 3,Needle Worm,TP3-001,Ultra Rare,Unlimited,Ungraded,Near Mint,0,1,279.85,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP3-001%20Needle%20Worm&type=prices,292.33,284.68,561.81,
Roy Yugioh,YuGiOh,Tournament Pack 3,Needle Worm,TP3-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,237.87,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP3-001%20Needle%20Worm&type=prices,292.33,284.68,561.81,
Roy Yugioh,YuGiOh,Magician's Force,Dark Magician Girl,MFC-000,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,225.99,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/dark-magician-girl-mfc-000,225.0,329.01,571.7,
Roy Yugioh,YuGiOh,Tournament Pack 2,Dragon Seeker,TP2-002,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,221.79,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP2-002%20Dragon%20Seeker&type=prices,114.43,182.98,208.09,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Red-Eyes Black Metal Dragon (Forbidden Memories),FMR-001,Prismatic Secret Rare,Limited,Ungraded,Lightly Played,0,1,207.87,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=FMR-001%20Red-Eyes%20Black%20Metal%20Dragon&type=prices,130.0,274.81,463.63,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Exodia the Forbidden One (Dark Duel Stories),DDS-003,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,196.9,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DDS-003%20Exodia%20the%20Forbidden%20One&type=prices,153.75,239.86,517.03,
Roy Yugioh,YuGiOh,Tournament Pack 3,B. Skull Dragon,TP3-004,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,187.66,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-3rd-season/black-skull-dragon-tp3-004,61.75,172.17,172.17,
Roy Yugioh,YuGiOh,Metal Raiders,Gate Guardian,MRD-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,177.2,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/gate-guardian-1st-edition-mrd-000,160.87,227.5,493.11,
Roy Yugioh,YuGiOh,Elemental Energy,Pot of Avarice (UTR),EEN-EN037,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,137.96,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-elemental-energy/pot-of-avarice-ultimate-rare-1st-edition-een-en037,148.99,202.55,218.88,
Roy Yugioh,YuGiOh,Metal Raiders,Time Wizard,MRD-065,Ultra Rare,1st Edition,Ungraded,Damaged,0,1,118.66,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/time-wizard-1st-edition-mrd-065,154.99,387.42,680.0,
Roy Yugioh,YuGiOh,McDonald's Promo,Millennium Shield,MP1-001,Ultra Rare,Limited,Ungraded,Near Mint,0,1,98.3,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=MP1-001%20Millennium%20Shield&type=prices,33.14,86.0,174.85,
Roy Yugioh,YuGiOh,Tournament Pack 2,Giant Red Seasnake,TP2-003,Super Rare,Unlimited,Ungraded,Near Mint,0,1,96.99,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP2-003%20Giant%20Red%20Seasnake&type=prices,90.0,85.21,157.21,
Roy Yugioh,YuGiOh,Tournament Pack 1,Patrol Robo,TP1-004,Super Rare,Unlimited,Ungraded,Near Mint,0,1,93.99,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-004%20Patrol%20Robo&type=prices,64.0,89.99,91.0,
Roy Yugioh,YuGiOh,Tournament Pack 1,White Hole,TP1-005,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,90.7,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-005%20White%20Hole&type=prices,102.5,121.51,199.99,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Blue-Eyes White Dragon,LOB-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,87.75,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/blue-eyes-white-dragon-lob-001,51.0,231.25,496.26,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Harpie's Pet Dragon (Forbidden Memories),FMR-002,Secret Rare,Limited,Ungraded,Lightly Played,0,1,86.09,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=FMR-002%20Harpie%27s%20Pet%20Dragon&type=prices,94.74,157.5,225.65,
Roy Yugioh,YuGiOh,Metal Raiders,Kuriboh,MRD-071,Super Rare,1st Edition,Ungraded,Near Mint,0,2,84.62,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/kuriboh-1st-edition-mrd-071,62.0,125.52,173.21,
Roy Yugioh,YuGiOh,McDonald's Promo,Millennium Shield,MP1-001,Ultra Rare,Limited,Ungraded,Lightly Played,0,1,83.56,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=MP1-001%20Millennium%20Shield&type=prices,33.14,86.0,174.85,
Roy Yugioh,YuGiOh,Tournament Pack 2,Giant Red Seasnake,TP2-003,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,82.44,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP2-003%20Giant%20Red%20Seasnake&type=prices,90.0,85.21,157.21,
Roy Yugioh,YuGiOh,Tournament Pack 1,Patrol Robo,TP1-004,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,79.89,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-004%20Patrol%20Robo&type=prices,64.0,89.99,91.0,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Torrential Tribute,LON-025,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,78.47,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/torrential-tribute-1st-edition-lon-025,45.38,86.87,118.42,
Roy Yugioh,YuGiOh,Tournament Pack 1,Kwagar Hercules,TP1-003,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,77.32,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-003%20Kwagar%20Hercules&type=prices,100.43,415.0,457.0,
Roy Yugioh,YuGiOh,Magic Ruler,Mystical Space Typhoon,MRL-047,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,76.08,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/mystical-space-typhoon-1st-edition-mrl-047,51.77,77.0,145.37,
Roy Yugioh,YuGiOh,Tournament Pack 2,Call of the Grave,TP2-005,Super Rare,Unlimited,Ungraded,Near Mint,0,1,75.69,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP2-005%20Call%20of%20the%20Grave&type=prices,61.96,36.63,81.24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Gemini Elf,LON-000,Secret Rare,1st Edition,Ungraded,Near Mint,0,1,71.87,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/gemini-elf-1st-edition-lon-000,61.31,63.74,186.03,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Dark Necrofear,LON-065,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,70.86,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/dark-necrofear-1st-edition-lon-065,65.46,80.5,222.45,
Roy Yugioh,YuGiOh,Legacy of Darkness,Yata-Garasu,LOD-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,68.89,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=LOD-000%20Yata-Garasu&type=prices,74.99,146.75,273.85,
Roy Yugioh,YuGiOh,Soul of the Duelist,Charcoal Inpachi (UTR),SOD-EN001,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,65.59,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-soul-of-the-duelist/charcoal-inpachi-ultimate-rare-1st-edition-sod-en001,21.24,62.0,126.46,
Roy Yugioh,YuGiOh,Tournament Pack 2,Call of the Grave,TP2-005,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,64.34,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP2-005%20Call%20of%20the%20Grave&type=prices,61.96,36.63,81.24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Gemini Elf,LON-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,61.09,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/gemini-elf-1st-edition-lon-000,61.31,63.74,186.03,
Roy Yugioh,YuGiOh,Legacy of Darkness,Injection Fairy Lily,LOD-100,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,60.07,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/injection-fairy-lily-1st-edition-lod-100,70.94,132.63,345.67,
Roy Yugioh,YuGiOh,Magician's Force,Breaker the Magical Warrior,MFC-071,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,52.34,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/breaker-the-magical-warrior-1st-edition-mfc-071,51.98,96.6,147.84,
Roy Yugioh,YuGiOh,Tournament Pack 2,Mikazukinoyaiba,TP2-006,Rare,Unlimited,Ungraded,Lightly Played,0,1,51.53,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP2-006%20Mikazukinoyaiba&type=prices,52.19,49.03,92.71,
Roy Yugioh,YuGiOh,Metal Raiders,Magic Jammer,MRD-128,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,49.34,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/magic-jammer-1st-edition-mrd-128,20.64,51.34,92.51,
Roy Yugioh,YuGiOh,Magic Ruler,Toon Mermaid,MRL-072,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,45.92,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/toon-mermaid-1st-edition-mrl-072,37.72,106.17,143.8,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Premature Burial,PSV-037,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,45.65,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/premature-burial-1st-edition-psv-037,19.12,48.47,68.98,
Roy Yugioh,YuGiOh,Starter Deck: Yugi,Soul Exchange,SDY-041,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,45.31,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-starter-deck-yugi/soul-exchange-1st-edition-sdy-041,11.25,28.24,45.0,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Ring of Destruction,PGD-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,2,45.26,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/ring-of-destruction-1st-edition-pgd-000,41.35,73.03,136.5,
Roy Yugioh,YuGiOh,Dark Crisis,Vampire Lord,DCR-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,41.96,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-dark-crisis/vampire-lord-1st-edition-dcr-000,45.96,72.88,173.23,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Metalmorph (Forbidden Memories),FMR-003,Secret Rare,Limited,Ungraded,Lightly Played,0,1,41.67,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=FMR-003%20Metalmorph&type=prices,45.22,87.23,130.01,
Roy Yugioh,YuGiOh,Tournament Pack 1,Versago the Destroyer,TP1-015,Rare,Unlimited,Ungraded,Lightly Played,0,1,41.64,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-015%20Versago%20the%20Destroyer&type=prices,19.19,25.04,51.85,
Roy Yugioh,YuGiOh,Starter Deck: Yugi,Dark Magician,SDY-006,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,41.41,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-starter-deck-yugi/dark-magician-sdy-006,9.5,134.75,299.0,
Roy Yugioh,YuGiOh,Tournament Pack 2,Exile of the Wicked,TP2-004,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,38.15,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP2-004%20Exile%20of%20the%20Wicked&type=prices,61.21,49.51,89.28,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Red-Eyes B. Dragon,LOB-070,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,37.92,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/red-eyes-black-dragon-lob-070,30.24,89.09,243.61,
Roy Yugioh,YuGiOh,2005 Collectors Tin,Dark Magician Girl,CT2-EN004,Secret Rare,Limited,Ungraded,Lightly Played,0,1,34.6,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=CT2-EN004%20Dark%20Magician%20Girl&type=prices,20.5,40.84,119.38,
Roy Yugioh,YuGiOh,Metal Raiders,Kuriboh,MRD-071,Super Rare,1st Edition,Ungraded,Damaged,0,1,33.85,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/kuriboh-1st-edition-mrd-071,62.0,125.52,173.21,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,United We Stand,LON-049,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,33.57,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/united-we-stand-1st-edition-lon-049,17.88,38.75,77.62,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Dust Tornado,PSV-011,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,32.69,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/dust-tornado-1st-edition-psv-011,30.29,32.79,40.5,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Dark Magician,LOB-005,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,32.53,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/dark-magician-lob-005,30.8,90.0,215.0,
Roy Yugioh,YuGiOh,Tournament Pack 1,Goddess with the Third Eye,TP1-013,Rare,Unlimited,Ungraded,Lightly Played,0,1,31.75,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-013%20Goddess%20with%20the%20Third%20Eye&type=prices,29.06,19.5,59.99,
Roy Yugioh,YuGiOh,Magician's Force,Paladin of White Dragon,MFC-026,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,31.02,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/paladin-of-white-dragon-1st-edition-mfc-026,29.6,75.19,83.0,
Roy Yugioh,YuGiOh,Invasion of Chaos,Black Luster Soldier - Envoy of the Beginning,IOC-025,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,30.57,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-invasion-of-chaos/black-luster-soldier-envoy-of-the-beginning-ioc-025,36.05,47.5,97.98,
Roy Yugioh,YuGiOh,Magician's Force,XY-Dragon Cannon,MFC-051,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,29.71,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/xy-dragon-cannon-1st-edition-mfc-051,30.0,61.0,68.97,
Roy Yugioh,YuGiOh,Magic Ruler,Mystical Space Typhoon,MRL-047,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,3,29.56,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/mystical-space-typhoon-mrl-047,17.5,24.22,65.04,
Roy Yugioh,YuGiOh,2003 Collectors Tin,Blue-Eyes White Dragon,BPT-009,Secret Rare,Limited,Ungraded,Lightly Played,0,1,28.08,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=BPT-009%20Blue-Eyes%20White%20Dragon&type=prices,19.36,80.87,107.5,
Roy Yugioh,YuGiOh,2003 Collectors Tin,Blue-Eyes White Dragon,BPT-009,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,27.94,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=BPT-009%20Blue-Eyes%20White%20Dragon&type=prices,19.36,80.87,107.5,
Roy Yugioh,YuGiOh,Legacy of Darkness,Tyrant Dragon,LOD-034,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,27.79,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/tyrant-dragon-1st-edition-lod-034,31.43,61.75,122.5,
Roy Yugioh,YuGiOh,Legacy of Darkness,Airknight Parshath,LOD-062,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,27.41,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/airknight-parshath-1st-edition-lod-062,23.02,49.82,58.0,
Roy Yugioh,YuGiOh,Magician's Force,Paladin of White Dragon,MFC-026,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,26.37,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/paladin-of-white-dragon-1st-edition-mfc-026,29.6,75.19,83.0,
Roy Yugioh,YuGiOh,Soul of the Duelist,Ectoplasmer (UTR),SOD-EN043,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,25.49,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-soul-of-the-duelist/ectoplasmer-1st-edition-sod-en043,4.7,12.99,16.47,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Lava Golem,PGD-107,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,25.14,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/lava-golem-1st-edition-pgd-107,22.35,62.83,147.22,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Dark Magician Knight (Reshef of Destruction),ROD-EN001,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,24.97,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-reshef-of-destruction/dark-magician-knight-rod-en001,14.99,26.84,54.26,
Roy Yugioh,YuGiOh,Tournament Pack 1,Beastking of the Swamps,TP1-014,Rare,Unlimited,Ungraded,Lightly Played,0,1,24.76,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-014%20Beastking%20of%20the%20Swamps&type=prices,29.79,70.9,78.0,
Roy Yugioh,YuGiOh,Magic Ruler,Axe of Despair,MRL-002,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,24.65,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/axe-of-despair-1st-edition-mrl-002,18.93,42.05,86.62,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Helpoemer,PGD-058,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,24.39,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/helpoemer-1st-edition-pgd-058,14.98,42.49,70.0,
Roy Yugioh,YuGiOh,Soul of the Duelist,Horus the Black Flame Dragon LV8,SOD-EN008,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,23.98,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-soul-of-the-duelist/horus-the-black-flame-dragon-lv8-ultimate-rare-1st-edition-sod-en008,325.0,462.0,889.5,
Roy Yugioh,YuGiOh,Invasion of Chaos,Dimension Fusion,IOC-094,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,23.62,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-invasion-of-chaos/dimension-fusion-1st-edition-ioc-094,21.44,53.51,68.5,
Roy Yugioh,YuGiOh,2004 Collectors Tin,Blade Knight,CT1-EN002,Secret Rare,Limited,Ungraded,Near Mint,0,1,21.9,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-collectible-tins-2004/blade-knight-ct1-en002,15.18,32.83,50.15,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Don Zaloog,PGD-029,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,21.52,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/don-zaloog-1st-edition-pgd-029,18.52,39.19,85.49,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Destiny Board,LON-088,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,21.17,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/destiny-board-1st-edition-lon-088,25.0,31.2,109.99,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Nobleman of Crossout,PSV-034,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,21.01,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/nobleman-of-crossout-1st-edition-psv-034,19.08,29.48,33.0,
Roy Yugioh,YuGiOh,Invasion of Chaos,Black Tyranno,IOC-075,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,20.41,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-invasion-of-chaos/black-tyranno-1st-edition-ioc-075,17.04,45.49,77.5,
Roy Yugioh,YuGiOh,Legacy of Darkness,Dark Ruler Ha Des,LOD-001,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,19.53,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/dark-ruler-ha-des-1st-edition-lod-001,17.45,47.38,88.0,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Right Leg of the Forbidden One,LOB-120,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,19.34,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/right-leg-of-the-forbidden-one-lob-120,19.99,33.39,110.14,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Goblin Attack Force,PSV-094,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,19.28,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/goblin-attack-force-1st-edition-psv-094,12.05,35.85,97.5,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Ring of Destruction,PGD-000,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,19.24,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/ring-of-destruction-pgd-000,24.99,48.02,90.59,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Left Arm of the Forbidden One,LOB-123,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,19.21,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/left-arm-of-the-forbidden-one-lob-123,20.0,75.01,139.32,
Roy Yugioh,YuGiOh,The Falsebound Kingdom,Zoa,TFK-001,Prismatic Secret Rare,Limited,Ungraded,Lightly Played,0,1,18.99,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TFK-001%20Zoa&type=prices,11.45,31.0,60.0,
