Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-05-24),Price Override,Watchlist,Date Added,Notes,PC URL,PC Ungraded (Raw),PC Grade 8,PC Grade 9,PC Note,TCGplayer Raw Price,Avg Ungraded,PSA 8 Spread,PSA 9 Spread,PC Grade 10,PSA 10 Profit,PSA 9 Net,PSA 8 Net
Roy Yugioh,YuGiOh,Magician's Force,Dark Magician Girl,MFC-000,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,225.99,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/dark-magician-girl-mfc-000,225.0,329.01,571.7,,170.04,197.51999999999998,131.49,374.18000000000006,1065.91,838.3900000000001,344.18000000000006,101.49000000000001
Roy Yugioh,YuGiOh,Tournament Pack 2,Dragon Seeker,TP2-002,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,221.79,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-2nd-season/dragon-seeker-tp2-002,114.43,182.98,208.09,,94.58,104.505,78.475,103.585,393.75,259.245,73.58500000000001,48.474999999999994
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Red-Eyes Black Metal Dragon (Forbidden Memories),FMR-001,Prismatic Secret Rare,Limited,Ungraded,Lightly Played,0,1,207.87,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-forbidden-memories/red-eyes-black-metal-dragon-fmr-001,130.0,274.81,463.63,,141.53,135.765,139.04500000000002,327.865,1397.45,1231.685,297.865,109.04500000000002
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Exodia the Forbidden One (Dark Duel Stories),DDS-003,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,196.9,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-dark-duel-stories/exodia-the-forbidden-one-dds-003,153.75,239.86,517.03,,113.4,133.575,106.28500000000004,383.455,1758.46,1594.885,353.455,76.28500000000003
Roy Yugioh,YuGiOh,Tournament Pack 3,B. Skull Dragon,TP3-004,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,187.66,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-3rd-season/black-skull-dragon-tp3-004,61.75,172.17,172.17,,274.95,168.35,3.819999999999993,3.819999999999993,,,-26.180000000000007,-26.180000000000007
Roy Yugioh,YuGiOh,Metal Raiders,Gate Guardian,MRD-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,177.2,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/gate-guardian-1st-edition-mrd-000,160.87,227.5,493.11,,135.88,148.375,79.125,344.735,2550.0,2371.625,314.735,49.125
Roy Yugioh,YuGiOh,Elemental Energy,Pot of Avarice (UTR),EEN-EN037,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,137.96,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-elemental-energy/pot-of-avarice-ultimate-rare-1st-edition-een-en037,148.99,202.55,218.88,,5.77,77.38000000000001,125.17,141.5,480.8,373.42,111.5,95.17
Roy Yugioh,YuGiOh,Metal Raiders,Time Wizard,MRD-065,Ultra Rare,1st Edition,Ungraded,Damaged,0,1,118.66,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/time-wizard-1st-edition-mrd-065,154.99,387.42,680.0,,25.0,89.995,297.425,590.005,2475.0,2355.005,560.005,267.425
Roy Yugioh,YuGiOh,McDonald's Promo,Millennium Shield,MP1-001,Ultra Rare,Limited,Ungraded,Near Mint,0,1,98.3,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-mcdonald%27s/millennium-shield-mp1-001,33.14,86.0,174.85,,98.3,65.72,20.28,109.13,942.0,846.28,79.13,-9.719999999999999
Roy Yugioh,YuGiOh,Tournament Pack 2,Giant Red Seasnake,TP2-003,Super Rare,Unlimited,Ungraded,Near Mint,0,1,96.99,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-2nd-season/giant-red-seasnake-tp2-003,90.0,85.21,157.21,,96.99,93.495,-8.28500000000001,63.715,909.0,785.505,33.715,-38.28500000000001
Roy Yugioh,YuGiOh,Tournament Pack 1,Patrol Robo,TP1-004,Super Rare,Unlimited,Ungraded,Near Mint,0,1,93.99,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-1st-season/patrol-robo-tp1-004,64.0,89.99,91.0,,93.99,78.995,10.99499999999999,12.004999999999995,615.72,506.725,-17.995000000000005,-19.00500000000001
Roy Yugioh,YuGiOh,Tournament Pack 1,White Hole,TP1-005,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,90.7,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-1st-season/white-hole-tp1-005,102.5,121.51,199.99,,115.06,108.78,12.730000000000004,91.21,743.97,605.19,61.21000000000001,-17.269999999999996
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Blue-Eyes White Dragon,LOB-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,87.75,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/blue-eyes-white-dragon-lob-001,51.0,231.25,496.26,,65.3,58.15,173.1,438.11,2878.82,2790.67,408.11,143.1
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Harpie's Pet Dragon (Forbidden Memories),FMR-002,Secret Rare,Limited,Ungraded,Lightly Played,0,1,86.09,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-forbidden-memories/harpie%27s-pet-dragon-fmr-002,94.74,157.5,225.65,,63.77,79.255,78.245,146.395,1225.0,1115.745,116.39500000000001,48.245000000000005
Roy Yugioh,YuGiOh,Metal Raiders,Kuriboh,MRD-071,Super Rare,1st Edition,Ungraded,Near Mint,0,2,84.62,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/kuriboh-1st-edition-mrd-071,62.0,125.52,173.21,,84.62,73.31,52.21,99.9,1327.8,1224.49,69.9,22.209999999999994
Roy Yugioh,YuGiOh,McDonald's Promo,Millennium Shield,MP1-001,Ultra Rare,Limited,Ungraded,Lightly Played,0,1,83.56,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-mcdonald%27s/millennium-shield-mp1-001,33.14,86.0,174.85,,41.15,37.144999999999996,48.855,137.70499999999998,942.0,874.855,107.70499999999998,18.855000000000004
Roy Yugioh,YuGiOh,Tournament Pack 2,Giant Red Seasnake,TP2-003,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,82.44,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-2nd-season/giant-red-seasnake-tp2-003,90.0,85.21,157.21,,51.52,70.76,14.449999999999989,86.45,909.0,808.24,56.45,-15.550000000000011
Roy Yugioh,YuGiOh,Tournament Pack 1,Patrol Robo,TP1-004,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,79.89,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-1st-season/patrol-robo-tp1-004,64.0,89.99,91.0,,49.97,56.985,33.004999999999995,34.015,615.72,528.735,4.015000000000001,3.0049999999999955
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Torrential Tribute,LON-025,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,78.47,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/torrential-tribute-1st-edition-lon-025,45.38,86.87,118.42,,63.65,54.515,32.355000000000004,63.905,675.0,590.485,33.905,2.355000000000004
Roy Yugioh,YuGiOh,Tournament Pack 1,Kwagar Hercules,TP1-003,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,77.32,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-1st-season/kwagar-hercules-tp1-003,100.43,415.0,457.0,,59.8,80.11500000000001,334.885,376.885,712.69,602.575,346.885,304.885
Roy Yugioh,YuGiOh,Magic Ruler,Mystical Space Typhoon,MRL-047,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,76.08,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/mystical-space-typhoon-1st-edition-mrl-047,51.77,77.0,145.37,,59.81,55.790000000000006,21.21,89.58,390.36,304.57,59.58,-8.790000000000006
Roy Yugioh,YuGiOh,Tournament Pack 2,Call of the Grave,TP2-005,Super Rare,Unlimited,Ungraded,Near Mint,0,1,75.69,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-2nd-season/call-of-the-grave-tp2-005,61.96,36.63,81.24,,75.69,68.825,-32.195,12.414999999999992,427.5,328.675,-17.585000000000008,-62.195
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Gemini Elf,LON-000,Secret Rare,1st Edition,Ungraded,Near Mint,0,1,71.87,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/gemini-elf-1st-edition-lon-000,61.31,63.74,186.03,,74.23,67.77000000000001,-4.030000000000008,118.26,1453.56,1355.79,88.25999999999999,-34.03000000000001
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Dark Necrofear,LON-065,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,70.86,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/dark-necrofear-1st-edition-lon-065,65.46,80.5,222.45,,35.63,50.545,29.955,171.90499999999997,1557.84,1477.2949999999998,141.90499999999997,-0.045000000000001705
Roy Yugioh,YuGiOh,Legacy of Darkness,Yata-Garasu,LOD-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,68.89,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/yata-garasu-1st-edition-lod-000,74.99,146.75,273.85,,46.63,60.81,85.94,213.04,2188.72,2097.91,183.04000000000002,55.94
Roy Yugioh,YuGiOh,Soul of the Duelist,Charcoal Inpachi (UTR),SOD-EN001,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,65.59,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-soul-of-the-duelist/charcoal-inpachi-ultimate-rare-1st-edition-sod-en001,21.24,62.0,126.46,,24.3,22.77,39.23,103.69,607.71,554.94,73.69,9.230000000000004
Roy Yugioh,YuGiOh,Tournament Pack 2,Call of the Grave,TP2-005,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,64.34,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-2nd-season/call-of-the-grave-tp2-005,61.96,36.63,81.24,,53.31,57.635000000000005,-21.005000000000003,23.60499999999999,427.5,339.865,-6.39500000000001,-51.005
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Gemini Elf,LON-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,61.09,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/gemini-elf-1st-edition-lon-000,61.31,63.74,186.03,,41.64,51.475,12.265,134.555,1453.56,1372.085,104.555,-17.735
Roy Yugioh,YuGiOh,Legacy of Darkness,Injection Fairy Lily,LOD-100,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,60.07,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/injection-fairy-lily-1st-edition-lod-100,70.94,132.63,345.67,,43.29,57.114999999999995,75.515,288.555,3550.0,3462.885,258.555,45.515
Roy Yugioh,YuGiOh,Magician's Force,Breaker the Magical Warrior,MFC-071,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,52.34,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/breaker-the-magical-warrior-1st-edition-mfc-071,51.98,96.6,147.84,,53.07,52.525,44.075,95.315,1528.97,1446.445,65.315,14.074999999999996
Roy Yugioh,YuGiOh,Tournament Pack 2,Mikazukinoyaiba,TP2-006,Rare,Unlimited,Ungraded,Lightly Played,0,1,51.53,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-2nd-season/mikazukinoyaiba-tp2-006,52.19,49.03,92.71,,42.72,47.455,1.5750000000000028,45.255,2615.01,2537.5550000000003,15.254999999999995,-28.424999999999997
Roy Yugioh,YuGiOh,Metal Raiders,Magic Jammer,MRD-128,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,49.34,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/magic-jammer-1st-edition-mrd-128,20.64,51.34,92.51,,21.08,20.86,30.480000000000004,71.65,345.93,295.07,41.650000000000006,0.480000000000004
Roy Yugioh,YuGiOh,Magic Ruler,Toon Mermaid,MRL-072,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,45.92,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/toon-mermaid-1st-edition-mrl-072,37.72,106.17,143.8,,27.14,32.43,73.74000000000001,111.37,635.26,572.83,81.37,43.74000000000001
Roy Yugioh,YuGiOh,Pharaoh's Servant,Premature Burial,PSV-037,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,45.65,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/premature-burial-1st-edition-psv-037,19.12,48.47,68.98,,45.65,32.385,16.085,36.595000000000006,283.75,221.365,6.595000000000006,-13.915
Roy Yugioh,YuGiOh,Starter Deck: Yugi,Soul Exchange,SDY-041,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,45.31,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-starter-deck-yugi/soul-exchange-1st-edition-sdy-041,11.25,28.24,45.0,,31.74,21.494999999999997,6.745000000000001,23.505000000000003,375.0,323.505,-6.494999999999997,-23.255
Roy Yugioh,YuGiOh,Pharaonic Guardian,Ring of Destruction,PGD-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,2,45.26,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/ring-of-destruction-1st-edition-pgd-000,41.35,73.03,136.5,,32.47,36.91,36.120000000000005,99.59,2525.0,2458.09,69.59,6.1200000000000045
Roy Yugioh,YuGiOh,Dark Crisis,Vampire Lord,DCR-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,41.96,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-dark-crisis/vampire-lord-1st-edition-dcr-000,45.96,72.88,173.23,,24.36,35.16,37.72,138.07,750.0,684.84,108.07,7.719999999999999
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Metalmorph (Forbidden Memories),FMR-003,Secret Rare,Limited,Ungraded,Lightly Played,0,1,41.67,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-forbidden-memories/metalmorph-fmr-003,45.22,87.23,130.01,,33.21,39.215,48.015,90.795,448.47,379.255,60.79499999999999,18.015
Roy Yugioh,YuGiOh,Tournament Pack 1,Versago the Destroyer,TP1-015,Rare,Unlimited,Ungraded,Lightly Played,0,1,41.64,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-1st-season/versago-the-destroyer-tp1-015,19.19,25.04,51.85,,14.52,16.855,8.184999999999999,34.995000000000005,399.99,353.135,4.9950000000000045,-21.815
Roy Yugioh,YuGiOh,Starter Deck: Yugi,Dark Magician,SDY-006,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,41.41,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-starter-deck-yugi/dark-magician-sdy-006,9.5,134.75,299.0,,18.34,13.92,120.83,285.08,1775.0,1731.08,255.07999999999998,90.83
Roy Yugioh,YuGiOh,Tournament Pack 2,Exile of the Wicked,TP2-004,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,38.15,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-2nd-season/exile-of-the-wicked-tp2-004,61.21,49.51,89.28,,33.83,47.519999999999996,1.990000000000002,41.760000000000005,238.5,160.98000000000002,11.760000000000005,-28.009999999999998
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Red-Eyes B. Dragon,LOB-070,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,37.92,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/red-eyes-black-dragon-lob-070,30.24,89.09,243.61,,28.55,29.395,59.69500000000001,214.215,1452.28,1392.885,184.215,29.695000000000007
Roy Yugioh,YuGiOh,2005 Collectors Tin,Dark Magician Girl,CT2-EN004,Secret Rare,Limited,Ungraded,Lightly Played,0,1,34.6,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-collectible-tins-2005/dark-magician-girl-ct2-en004,20.5,40.84,119.38,,21.55,21.025,19.815000000000005,98.355,587.32,536.2950000000001,68.35499999999999,-10.184999999999995
Roy Yugioh,YuGiOh,Metal Raiders,Kuriboh,MRD-071,Super Rare,1st Edition,Ungraded,Damaged,0,1,33.85,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/kuriboh-1st-edition-mrd-071,62.0,125.52,173.21,,3.81,32.905,92.615,140.305,1327.8,1264.895,110.305,62.614999999999995
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,United We Stand,LON-049,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,33.57,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/united-we-stand-1st-edition-lon-049,17.88,38.75,77.62,,12.35,15.114999999999998,23.635,62.50500000000001,669.98,624.865,32.50500000000001,-6.364999999999998
Roy Yugioh,YuGiOh,Pharaoh's Servant,Dust Tornado,PSV-011,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,32.69,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/dust-tornado-1st-edition-psv-011,30.29,32.79,40.5,,26.47,28.38,4.41,12.12,152.53,94.15,-17.88,-25.59
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Dark Magician,LOB-005,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,32.53,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/dark-magician-lob-005,30.8,90.0,215.0,,28.0,29.4,60.6,185.6,1592.57,1533.1699999999998,155.6,30.6
Roy Yugioh,YuGiOh,Tournament Pack 1,Goddess with the Third Eye,TP1-013,Rare,Unlimited,Ungraded,Lightly Played,0,1,31.75,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-1st-season/goddess-with-the-third-eye-tp1-013,29.06,19.5,59.99,,30.89,29.975,-10.475,30.015,1430.81,1370.835,0.015000000000000568,-40.475
Roy Yugioh,YuGiOh,Magician's Force,Paladin of White Dragon,MFC-026,Ultra Rare,1st Edition,Ungraded,Near Mint,0,1,31.02,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/paladin-of-white-dragon-1st-edition-mfc-026,29.6,75.19,83.0,,30.74,30.17,45.02,52.83,1799.99,1739.82,22.83,15.019999999999996
Roy Yugioh,YuGiOh,Invasion of Chaos,Black Luster Soldier - Envoy of the Beginning,IOC-025,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,30.57,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-invasion-of-chaos/black-luster-soldier-envoy-of-the-beginning-ioc-025,36.05,47.5,97.98,,28.39,32.22,15.28,65.76,771.12,708.9,35.760000000000005,-14.719999999999999
Roy Yugioh,YuGiOh,Magician's Force,XY-Dragon Cannon,MFC-051,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,29.71,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/xy-dragon-cannon-1st-edition-mfc-051,30.0,61.0,68.97,,15.26,22.63,38.370000000000005,46.34,499.99,447.36,16.340000000000003,8.370000000000005
Roy Yugioh,YuGiOh,Magic Ruler,Mystical Space Typhoon,MRL-047,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,3,29.56,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/mystical-space-typhoon-mrl-047,17.5,24.22,65.04,,15.12,16.31,7.91,48.73,168.73,122.41999999999999,18.730000000000004,-22.09
Roy Yugioh,YuGiOh,2003 Collectors Tin,Blue-Eyes White Dragon,BPT-009,Secret Rare,Limited,Ungraded,Lightly Played,0,1,28.08,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-2003-collector%27s-tin/blue-eyes-white-dragon-bpt-009,19.36,80.87,107.5,,16.41,17.884999999999998,62.98500000000001,89.61500000000001,652.05,604.165,59.61500000000001,32.98500000000001
Roy Yugioh,YuGiOh,2003 Collectors Tin,Blue-Eyes White Dragon,BPT-009,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,27.94,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-2003-collector%27s-tin/blue-eyes-white-dragon-bpt-009,19.36,80.87,107.5,,16.41,17.884999999999998,62.98500000000001,89.61500000000001,652.05,604.165,59.61500000000001,32.98500000000001
